;AAPL UW Equity;AXP UN Equity;BA UN Equity;CAT UN Equity;CSCO UW Equity;CVX UN Equity;DIS UN Equity;DWDP UN Equity;GE UN Equity;GS UN Equity;HD UN Equity;IBM UN Equity;INTC UW Equity;JNJ UN Equity;JPM UN Equity;KO UN Equity;MCD UN Equity;MMM UN Equity;MRK UN Equity;MSFT UW Equity;NKE UN Equity;PFE UN Equity;PG UN Equity;TRV UN Equity;UNH UN Equity;UTX UN Equity;V UN Equity;VZ UN Equity;WMT UN Equity;XOM UN Equity;INDU Index
13/04/2009;17.1743;20.46;37.15;33.16;17.89;67.98;19.53;11.24;12.13;130.15;25.96;99.95;15.99;51.15;33.7;22.365;56.11;53.35;26.05;19.59;13.28;13.48;48.04;43.8;24.37;46.39;15.2775;29.6576;51.53;68.02;8057.81
14/04/2009;16.9014;18.43;37.04;32.7;17.93;66.58;19.02;10.66;11.51;115.11;25.34;99.27;16.01;51.37;30.7;22.105;54.82;52.94;25.68;19.35;12.85;13.34;47.25;41.34;24.5;45.55;14.5825;29.2464;51.12;67.7;7920.18
15/04/2009;16.8057;20.62;37.57;33.02;17.56;66.7;19.73;11.23;11.83;121.19;25.67;98.85;15.62;51.77;32.56;22.515;53.95;53.73;26.25;18.83;13.0275;13.86;48.75;43.64;25.11;46.76;14.7775;29.6108;51.29;68.14;8029.62
16/04/2009;17.35;20.69;38.39;32.71;18.08;65.93;20.51;11.91;12.27;121.19;25.97;101.43;15.89;52.2;33.24;22.55;54.7;54.76;25.85;19.76;13.4425;13.9;50.43;43.19;24.36;47.5;14.5175;29.6482;50.78;67.41;8125.43
17/04/2009;17.6314;21.81;38.32;32.29;17.99;66.01;20.38;12.6;12.39;120.6;26.1;101.27;15.6;53.05;33.26;22.51;56.09;53.81;25.73;19.2;13.6525;14.16;51.66;42.53;24.14;47.32;14.5;29.6949;50.2;66.75;8131.33
20/04/2009;17.2143;18.98;36.48;30.48;17.31;63.87;19.41;11.48;11.35;115.01;25.15;100.43;15;52.47;29.69;22.165;55.33;51.97;25.22;18.61;13.09;13.59;50.73;40.37;24.21;45.81;13.75;28.9007;49.27;65.29;7841.73
21/04/2009;17.3943;19.57;36.65;31.39;17.69;64.88;19.47;12.18;11.7;120.36;25.87;102.31;15.36;52.46;32.53;21.545;55.63;53.29;23.54;18.97;13.3175;13.52;51.37;42.64;22.8;47.99;14.6575;29.0035;49.83;66.23;7969.56
22/04/2009;17.3586;19.43;37.3;32.45;17.44;63.75;19.4;12.47;11.8;120.49;26.17;102.55;15.67;51.18;31.9;21.465;54.25;53.06;22.97;18.78;13.75;13.04;49.6;39.93;22.81;46.89;14.3775;28.882;48.96;64.75;7886.57
23/04/2009;17.9143;20.97;37.93;32.45;17.62;65.53;19.63;12.39;11.88;122.81;25.76;101.42;15.53;51.4;33.21;21.46;55.3;54.21;23.23;18.92;13.5975;13.28;49.32;40.21;23.16;48.04;14.5575;28.9661;48.86;65.71;7957.06
24/04/2009;17.7;25.3;38.72;33.63;18.42;66.6;20.26;12.99;12.11;121.3;26.31;100.08;15.62;50.92;33.38;21.395;54.31;57;23.45;20.91;13.6825;13.17;49.51;39.5;23.06;49.37;15.095;28.9661;47.87;66.57;8076.29
27/04/2009;17.8186;24.23;39.47;33.39;18.37;65.41;19.74;12.61;12.09;120.9;25.88;99.95;15.28;50.86;32.78;21.12;54.49;57.35;23.44;20.4;13.5325;13.49;49.97;40.33;23.01;48.46;14.7175;28.5363;48.51;66.13;8025
28/04/2009;17.7129;24.15;38.85;32.78;18.67;65.99;19.51;13;12;120.67;26.07;101.94;15.05;50.65;32.79;21.14;54.53;56.55;23.17;19.93;13.8975;13.39;49.69;40.92;23.89;47.97;15.1775;28.9287;48.47;67.08;8016.95
29/04/2009;17.8771;24.95;40.55;33.69;19.25;67.56;21.01;13.51;12.22;127.18;26.34;104.04;15.35;51.03;34.48;21.355;54.41;57.52;23.9;20.25;13.24;13.43;50.42;42.56;23.87;48.91;15.8775;28.4148;50.45;68.44;8185.73
30/04/2009;17.9757;25.22;40.05;35.58;19.32;66.1;21.9;16;12.65;128.5;26.32;103.21;15.78;52.36;33;21.525;53.29;57.6;24.24;20.26;13.1175;13.36;49.44;41.14;23.52;48.84;16.24;28.3494;50.4;66.67;8168.12
